subject_id,gold
0,0
1,1
2,2
3,3
4,0
5,1
6,2
7,3
8,0
9,1
10,2
11,3
12,0
13,1
14,2
15,3
16,0
17,1
18,2
19,3
20,0
21,1
22,2
23,3
24,0
25,1
26,2
27,3
28,0
29,1
30,2
31,3
32,0
33,1
34,2
35,3
36,0
37,1
38,2
39,3
40,0
41,1
42,2
43,3
44,0
45,1
46,2
47,3
48,0
49,1
50,2
51,3
52,0
53,1
54,2
55,3
56,0
57,1
58,2
59,3
60,0
61,1
62,2
63,3
64,0
65,1
66,2
67,3
68,0
69,1
70,2
71,3
72,0
73,1
74,2
75,3
76,0
77,1
78,2
79,3
80,0
81,1
82,2
83,3
84,0
85,1
86,2
87,3
88,0
89,1
90,2
91,3
92,0
93,1
94,2
95,3
96,0
97,1
98,2
99,3
